rank,Youtuber,subscribers,video views,video count,category,started
310,LPmitKev,"1,480,000",0,0,Gaming,2011
311,Alphastein,"1,470,000","918,738,830","2,704",Gaming,2016
312,Gnu,"1,470,000","479,007,363","1,770",Gaming,2015
313,Jenna Ortega FP,"1,470,000","846,576,091","1,322",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2022
314,Schneller Koch,"1,470,000","449,885,806",796,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
315,SnakeThug - Brawl Stars,"1,470,000","921,899,837","1,028",Gaming,2015
316,schnelle Küche,"1,470,000","365,553,836","1,090",People & Blogs,2020
317,Herzhaft und lecker,"1,460,000","290,867,641",394,People & Blogs,2021
318,Nahim Sky,"1,460,000","301,775,509",361,Entertainment,2012
319,Free High-Quality Documentaries,"1,450,000","395,935,809",519,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2017
320,Finanzfluss,"1,450,000","240,234,205","1,566",Education,2015
321,edafoxx ASMR,"1,450,000","529,836,690","1,103",Entertainment,2019
322,Echtso,"1,450,000","1,186,376,184","1,893",Entertainment,2013
323,Hey Aaron!!!,"1,440,000","470,136,810",649,Entertainment,2013
324,RayFox,"1,440,000","442,192,222",601,Entertainment,2016
325,Nico Rosberg,"1,440,000","158,462,953",675,Autos & Vehicles,2011
326,Foot Epic,"1,440,000","488,476,859",177,Sports,2016
327,Younes Jones,"1,440,000","522,026,828",354,Comedy,2017
328,Mamiseelen,"1,430,000","1,196,809,543","1,820",Howto & Style,2012
329,Mert Abi,"1,430,000","344,596,647",250,Entertainment,2011
330,ZDFheute Nachrichten,"1,430,000","1,232,947,546","7,054",News & Politics,2019
331,World Wide Wohnzimmer,"1,420,000","622,847,236","2,170",Entertainment,2010
332,Hacks von Panda,"1,420,000","381,409,975",523,Howto & Style,2018
333,DOJU 도주,"1,420,000","269,160,376",99,Entertainment,2024
334,Alle Rezepte,"1,420,000","340,579,339",633,People & Blogs,2020
335,WannaBe,"1,420,000","618,911,601","1,422",Gaming,2018
336,Auf Streife,"1,410,000","1,485,885,760","6,329",Entertainment,2017
337,Alexandre Leroy,"1,410,000","308,727,700",988,Entertainment,2023
338,Bonnytrash,"1,410,000","31,540,017",64,People & Blogs,2015
339,FUNK 4.0,"1,410,000","171,881,654","1,920",People & Blogs,2017
340,AllesAva,"1,400,000","960,474,825","1,320",Entertainment,2015
341,Karina2you,"1,390,000","1,271,704,424","1,273",Comedy,2020
342,Johnny Hand,"1,390,000","582,818,807","1,871",Entertainment,2016
343,flyinguwe,"1,390,000","57,219,623",350,Sports,2007
344,Brownies,"1,390,000","327,683,849",938,Entertainment,2014
345,ClashGames,"1,380,000","642,709,327","3,585",Gaming,2015
346,SparkofPhoenix,"1,380,000","672,110,666","8,864",Gaming,2010
347,Felix Blume,"1,380,000","342,179,987",224,Entertainment,2013
348,Caillou Deutsch - WildBrain,"1,380,000","934,825,296","2,407",Film & Animation,2016
349,JuliensBlogBattle,"1,380,000","860,917,560",926,Entertainment,2012
350,LeKoopa,"1,370,000","922,391,168","1,696",Gaming,2012
351,Song des Tages,"1,370,000","1,283,044,748","2,253",Entertainment,2010
352,Katja Krasavice,"1,370,000","62,231",2,Entertainment,2014
353,vipmagazin Kino,"1,360,000","1,531,784,371","10,109",Film & Animation,2007
354,Mexify Games,"1,360,000","320,165,667",699,Gaming,2018
355,IDzock,"1,360,000","746,849,284","2,713",Gaming,2013
356,Bigtime - Free Movies,"1,360,000","170,707,302",650,Film & Animation,2016
357,LostHistorie,"1,350,000","385,681,984","1,983",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
358,LauraJoelle,"1,350,000","206,482,325",423,Howto & Style,2011
359,Harin,"1,350,000","887,177,460",881,Comedy,2014
360,Gita Savitri Devi,"1,350,000","130,301,101",543,People & Blogs,2009
361,NDR Doku,"1,350,000","698,389,036","1,648",News & Politics,2005
362,Promiflash,"1,350,000","104,451,918","6,625",Entertainment,2010
363,JUcktmichnicht,"1,340,000","540,995,912",771,People & Blogs,2020
364,Kenhub - Learn Human Anatomy,"1,340,000","128,618,364",788,Education,2011
365,Mercedes-Benz & Maybach Fans,"1,330,000","421,261,895",453,People & Blogs,2017
366,Natallia & Habib: The MixMatch Family,"1,330,000","633,369,069","1,505",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
367,Jessie Bluegrey,"1,330,000","1,890,398,050",713,Film & Animation,2020
368,Persian Music Group,"1,320,000","840,353,824","2,738",Music,2018
369,Sirloin,"1,320,000","1,112,215,835","8,853",Gaming,2016
370,#Mentale Zuflucht,"1,310,000","894,049,337","1,545",Entertainment,2016
